year,title,authors,decision,confidence,matched_terms,url
2025,Regulatory DNA Sequence Design with Reinforcement Learning,"Zhao Yang, Bing Su, Chuan Cao, Ji-Rong Wen",ICLR 2025 Poster,high,DNA; gene expression,https://openreview.net/forum?id=F4IMiNhim1
2025,Beyond Sequence: Impact of Geometric Context for RNA Property Prediction,"Junjie Xu, Artem Moskalev, Tommaso Mansi, Mangal Prakash, Rui Liao",ICLR 2025 Poster,high,sequencing,https://openreview.net/forum?id=9htTvHkUhh
2025,Do Deep Neural Network Solutions Form a Star Domain?,"Ankit Sonthalia, Alexander Rubinstein, Ehsan Abbasnejad, Seong Joon Oh",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=QjO0fUlVYK
2025,BLEND: Behavior-guided Neural Population Dynamics Modeling via Privileged Knowledge Distillation,"Zhengrui Guo, Fangxu Zhou, Wei Wu, Qichen Sun, Lishuang Feng, Jinzhuo Wang, Hao Chen",ICLR 2025 Poster,high,transcriptom,https://openreview.net/forum?id=jE5ZbtMtcU
2025,FreeCG: Free the Design Space of Clebsch-Gordan Transform for Machine Learning Force Fields,"Shihao Shao, Haoran Geng, Zun Wang, Qinghua Cui",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=sfi2j1Ot6j
2025,Neuron Platonic Intrinsic Representation From Dynamics Using Contrastive Learning,"Wei Wu, Can Liao, zizhen Deng, Zhengrui Guo, Jinzhuo Wang",ICLR 2025 Poster,high,transcriptom,https://openreview.net/forum?id=vFanHFE4Qv
2025,Distilling Structural Representations into Protein Sequence Models,"Jeffrey Ouyang-Zhang, Chengyue Gong, Yue Zhao, Philipp Kraehenbuehl, Adam Klivans, Daniel Jesus Diaz",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=KXrgDM3mVD
2026,On the Lipschitz Continuity of Set Aggregation Functions and Neural Networks for Sets,"Giannis Nikolentzos, Konstantinos Skianis",ICLR 2026 Poster,low,mutation,https://openreview.net/forum?id=sPRK6XefjY
2026,Do We Really Need Permutations? Impact of Model Width on Linear Mode Connectivity,"Akira Ito, Masanori Yamada, Daiki Chijiwa, Atsutoshi Kumagai",ICLR 2026 Poster,low,mutation,https://openreview.net/forum?id=ll8GLAic7q
2026,HeurekaBench: A Benchmarking Framework for AI Co-scientist,"Siba Smarak Panigrahi, Jovana Videnović, Maria Brbic",ICLR 2026 Poster,high,single-cell,https://openreview.net/forum?id=Y7xCdFuFw7
2026,Exchangeability of GNN Representations  with Applications to Graph Retrieval,"Kartik Nair, Indradyumna Roy, Soumen Chakrabarti, Anirban Dasgupta, Abir De",ICLR 2026 Oral,low,mutation,https://openreview.net/forum?id=HQcCd0laFq
2026,PETRI: Learning Unified Cell Embeddings from Unpaired Modalities via Early-Fusion Joint Reconstruction,"Ryan W Conrad, Ethan Weinberger, Saradha Venkatachalapathy, Yuwen Chen, Darshini Shah, Bay Johnson, Max R Salick, Vaishaali Natarajan, Emily Fox",ICLR 2026 Poster,high,gene expression; transcriptom,https://openreview.net/forum?id=Vu8YXDooG5
2026,Structure-Aware Graph Hypernetworks for Neural Program Synthesis,"Wenhao Li, Yudong Xu, Elias Boutros Khalil, Scott Sanner",ICLR 2026 Poster,low,mutation,https://openreview.net/forum?id=x7zOzUwtR7
2026,Natural Language PDDL (NL-PDDL) for Open-world Goal-oriented Commonsense Regression Planning in Embodied AI,"Xiaotian Liu, Armin Toroghi, Jiazhou Liang, David Courtis, Ruiwen Li, Ali Pesaranghader, Jaehong Kim, Tanmana Sadhu, Hyejeong Jeon, Scott Sanner",ICLR 2026 Poster,high,sequencing,https://openreview.net/forum?id=kWCNhRdcDI
2026,HEIST: A Graph Foundation Model for Spatial Transcriptomics and Proteomics Data,"Hiren Madhu, João Felipe Rocha, Tinglin Huang, Siddharth Viswanath, Smita Krishnaswamy, Rex Ying",ICLR 2026 Poster,high,gene expression; proteom; single-cell; transcriptom,https://openreview.net/forum?id=lK82jpa8jr
